manufacturer,Model,Year,horse power,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,cost of car
BMW,1 Series M,2011,335.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,46135
BMW,1 Series,2011,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,40650
BMW,1 Series,2011,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,36350
BMW,1 Series,2011,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,29450
BMW,1 Series,2011,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,34500
BMW,1 Series,2012,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,31200
BMW,1 Series,2012,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,44100
BMW,1 Series,2012,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,39300
BMW,1 Series,2012,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,36900
BMW,1 Series,2013,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,37200
BMW,1 Series,2013,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,39600
BMW,1 Series,2013,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,31500
BMW,1 Series,2013,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,44400
BMW,1 Series,2013,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,37200
BMW,1 Series,2013,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,31500
BMW,1 Series,2013,320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,48250
BMW,1 Series,2013,320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,43550
Audi,100,1992,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,2000
Audi,100,1992,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,2000
Audi,100,1992,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,2000
Audi,100,1992,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,2000
Audi,100,1992,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,2000
Audi,100,1993,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,2000
Audi,100,1993,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,2000
Audi,100,1993,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,2000
Audi,100,1993,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,2000
Audi,100,1993,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,2000
Audi,100,1994,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Wagon,2000
Audi,100,1994,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,2000
Audi,100,1994,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,2000
Audi,100,1994,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,2000
Audi,100,1994,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,2000
FIAT,124 Spider,2017,160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,27495
FIAT,124 Spider,2017,160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24995
FIAT,124 Spider,2017,160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28195
Mercedes-Benz,190-Class,1991,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,2000
Mercedes-Benz,190-Class,1991,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,2000
Mercedes-Benz,190-Class,1992,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,2000
Mercedes-Benz,190-Class,1992,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,2000
Mercedes-Benz,190-Class,1993,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,2000
Mercedes-Benz,190-Class,1993,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,2000
BMW,2 Series,2016,240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,32850
BMW,2 Series,2016,240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,38650
BMW,2 Series,2016,320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,48750
BMW,2 Series,2016,240.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,34850
BMW,2 Series,2016,240.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,40650
BMW,2 Series,2016,320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,44150
BMW,2 Series,2016,240.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,32850
BMW,2 Series,2016,320.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,46150
BMW,2 Series,2016,320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,50750
BMW,2 Series,2017,335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,46450
BMW,2 Series,2017,335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,49050
BMW,2 Series,2017,335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,51050
BMW,2 Series,2017,335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,44450
BMW,2 Series,2017,248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,38950
BMW,2 Series,2017,248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,33150
BMW,2 Series,2017,248.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,35150
BMW,2 Series,2017,248.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,40950
Audi,200,1990,162.0,5.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,2000
Audi,200,1990,162.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Wagon,2000
Audi,200,1990,162.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,2000
Audi,200,1991,217.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,2000
Audi,200,1991,217.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Wagon,2000
Audi,200,1991,162.0,5.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,2000
Chrysler,200,2015,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,25170
Chrysler,200,2015,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,23950
Chrysler,200,2015,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29370
Chrysler,200,2015,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,21995
Chrysler,200,2015,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,26625
Chrysler,200,2015,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,30825
Chrysler,200,2016,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,21995
Chrysler,200,2016,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,27795
Chrysler,200,2016,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,31785
Chrysler,200,2016,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29905
Chrysler,200,2016,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,22490
Chrysler,200,2016,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,27570
Chrysler,200,2016,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,25690
Chrysler,200,2016,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,24490
Chrysler,200,2017,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29905
Chrysler,200,2017,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,31785
